Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-12WSC	GTEX-12WSC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSC		individual_organism
GTEX-12WSD	GTEX-12WSD		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSD		individual_organism
GTEX-12WSE	GTEX-12WSE		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSE		individual_organism
GTEX-12WSF	GTEX-12WSF		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSF		individual_organism
GTEX-12WSG	GTEX-12WSG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSG		individual_organism
GTEX-12WSH	GTEX-12WSH		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSH		individual_organism
GTEX-12WSI	GTEX-12WSI		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSI		individual_organism
GTEX-12WSJ	GTEX-12WSJ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSJ		individual_organism
GTEX-12WSK	GTEX-12WSK		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSK		individual_organism
GTEX-12WSL	GTEX-12WSL		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSL		individual_organism
GTEX-12WSM	GTEX-12WSM		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSM		individual_organism
GTEX-12WSN	GTEX-12WSN		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12WSN		individual_organism
GTEX-12ZZW	GTEX-12ZZW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12ZZW		individual_organism
GTEX-12ZZX	GTEX-12ZZX		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12ZZX		individual_organism
GTEX-12ZZY	GTEX-12ZZY		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12ZZY		individual_organism
GTEX-12ZZZ	GTEX-12ZZZ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-12ZZZ		individual_organism
GTEX-13111	GTEX-13111		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13111		individual_organism
GTEX-13112	GTEX-13112		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13112		individual_organism
GTEX-13113	GTEX-13113		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13113		individual_organism
GTEX-1313W	GTEX-1313W		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1313W		individual_organism
GTEX-1314G	GTEX-1314G		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1314G		individual_organism
GTEX-131XE	GTEX-131XE		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131XE		individual_organism
GTEX-131XF	GTEX-131XF		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131XF		individual_organism
GTEX-131XG	GTEX-131XG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131XG		individual_organism
GTEX-131XH	GTEX-131XH		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131XH		individual_organism
GTEX-131XW	GTEX-131XW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131XW		individual_organism
GTEX-131YS	GTEX-131YS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-131YS		individual_organism
GTEX-132AR	GTEX-132AR		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-132AR		individual_organism
GTEX-132NY	GTEX-132NY		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-132NY		individual_organism
GTEX-132Q8	GTEX-132Q8		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-132Q8		individual_organism
GTEX-132QS	GTEX-132QS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-132QS		individual_organism
GTEX-1339X	GTEX-1339X		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1339X		individual_organism
GTEX-133LE	GTEX-133LE		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-133LE		individual_organism
GTEX-1399Q	GTEX-1399Q		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1399Q		individual_organism
GTEX-1399R	GTEX-1399R		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1399R		individual_organism
GTEX-1399S	GTEX-1399S		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1399S		individual_organism
GTEX-1399T	GTEX-1399T		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1399T		individual_organism
GTEX-1399U	GTEX-1399U		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-1399U		individual_organism
GTEX-139D8	GTEX-139D8		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139D8		individual_organism
GTEX-139T4	GTEX-139T4		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139T4		individual_organism
GTEX-139T6	GTEX-139T6		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139T6		individual_organism
GTEX-139T8	GTEX-139T8		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139T8		individual_organism
GTEX-139TS	GTEX-139TS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139TS		individual_organism
GTEX-139TT	GTEX-139TT		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139TT		individual_organism
GTEX-139TU	GTEX-139TU		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139TU		individual_organism
GTEX-139UC	GTEX-139UC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139UC		individual_organism
GTEX-139UW	GTEX-139UW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139UW		individual_organism
GTEX-139YR	GTEX-139YR		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-139YR		individual_organism
GTEX-13CF2	GTEX-13CF2		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13CF2		individual_organism
GTEX-13CF3	GTEX-13CF3		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13CF3		individual_organism
GTEX-13CIG	GTEX-13CIG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13CIG		individual_organism
