Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-111FC-1026-SM-5GZX1	GTEX-111FC-1026-SM-5GZX1		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-1026-SM-5GZX1		biosample
GTEX-111FC-1126-SM-5GZWU	GTEX-111FC-1126-SM-5GZWU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-1126-SM-5GZWU		biosample
GTEX-111FC-1326-SM-5N9D9	GTEX-111FC-1326-SM-5N9D9		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-1326-SM-5N9D9		biosample
GTEX-111FC-1926-SM-5GZYC	GTEX-111FC-1926-SM-5GZYC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-1926-SM-5GZYC		biosample
GTEX-111FC-2026-SM-5GZYO	GTEX-111FC-2026-SM-5GZYO		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-2026-SM-5GZYO		biosample
GTEX-111FC-2526-SM-5GZXU	GTEX-111FC-2526-SM-5GZXU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-2526-SM-5GZXU		biosample
GTEX-111FC-2926-SM-5GZY7	GTEX-111FC-2926-SM-5GZY7		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-2926-SM-5GZY7		biosample
GTEX-111FC-3126-SM-5GZZ2	GTEX-111FC-3126-SM-5GZZ2		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-3126-SM-5GZZ2		biosample
GTEX-111FC-3326-SM-5GZYV	GTEX-111FC-3326-SM-5GZYV		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111FC-3326-SM-5GZYV		biosample
GTEX-111VG-0008-SM-5Q5BG	GTEX-111VG-0008-SM-5Q5BG		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-0008-SM-5Q5BG		biosample
GTEX-111VG-0326-SM-5GZX7	GTEX-111VG-0326-SM-5GZX7		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-0326-SM-5GZX7		biosample
GTEX-111VG-0526-SM-5N9BW	GTEX-111VG-0526-SM-5N9BW		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-0526-SM-5N9BW		biosample
GTEX-111VG-0726-SM-5GIDC	GTEX-111VG-0726-SM-5GIDC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-0726-SM-5GIDC		biosample
GTEX-111VG-1626-SM-5EGIO	GTEX-111VG-1626-SM-5EGIO		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-1626-SM-5EGIO		biosample
GTEX-111VG-1926-SM-5GIDO	GTEX-111VG-1926-SM-5GIDO		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-1926-SM-5GIDO		biosample
